brand,perfume,notes
Le Labo,Santal 33,"sandalwood, cardamom, iris, violet, leather, ambrox, musk"
Chanel,Coco Mademoiselle,"orange, bergamot, jasmine, rose, patchouli, vetiver, vanilla"
Maison Margiela,Jazz Club,"rum, tobacco leaf, vanilla, orange, cade"
