brand,perfume,notes
Tom Ford,Tobacco Vanille,"tobacco leaf, spices, cacao, tonka bean, vanilla, dried fruits, woody notes"
Byredo,Gypsy Water,"bergamot, pepper, juniper, incense, pine, sandalwood, vanilla, amber"
Diptyque,Philosykos,"fig leaf, fig, cedar, coconut, green notes"
